section,name,count,notes
summary,totalTopicCards,350,All topic JSON files in topics/
summary,phase4NewTopicCards,93,New topic cards added in this package
summary,totalCategories,82,Categories represented in topic cards
summary,bookReferenceFiles,66,Expected 66 by-reference book files
summary,booksWithMappedReferences,57,Books with at least one mapped background key
summary,mappedVerseKeys,6784,Total verse keys in by-reference files
summary,missingTopicReferences,0,Should remain 0
summary,duplicateTopicReferencesWithinVerseKeys,0,Should remain 0
category,Agriculture and Work,32,topic cards
category,Angels and Sacred Space,1,topic cards
category,Animals and Travel,1,topic cards
category,Apocalyptic and Prophetic Imagery,6,topic cards
category,Church and Assembly,4,topic cards
category,Cities and Public Life,5,topic cards
category,Clothing and Appearance,4,topic cards
category,Communication and Travel,2,topic cards
category,Covenants and Agreements,1,topic cards
category,Covenants and Identity,1,topic cards
category,Daily Life and Clothing,4,topic cards
category,Daily Life and Household,11,topic cards
category,Daily Life and Occupations,7,topic cards
category,Daily Life and Social Life,4,topic cards
category,Daily Life and Society,7,topic cards
category,Daily Life and Travel,1,topic cards
category,Daily Life and Warfare,1,topic cards
category,Death and Burial,1,topic cards
category,Death and Mourning,4,topic cards
category,Documents and Authority,2,topic cards
category,Early Church Life,2,topic cards
category,Economy and Measures,2,topic cards
category,Family and Covenant Identity,2,topic cards
category,Family and Household,17,topic cards
category,Family and Social Life,5,topic cards
category,Feasts and Worship,6,topic cards
category,Fishing and Sea Life,3,topic cards
category,Food and Daily Life,5,topic cards
category,Food and Table Fellowship,4,topic cards
category,Government and Legal Life,10,topic cards
category,Government and Social Life,1,topic cards
category,Greek and Roman World,2,topic cards
category,Groups and Leaders,3,topic cards
category,Healing and Mercy,1,topic cards
category,Healing and Purity,1,topic cards
category,Homes and Daily Life,5,topic cards
category,Household and Economy,1,topic cards
category,Jewish Groups and Politics,2,topic cards
category,Jewish Life and Geography,1,topic cards
category,Jewish Life and Worship,8,topic cards
category,Justice and Mercy,3,topic cards
category,Kings and Government,2,topic cards
category,Land and Daily Life,2,topic cards
category,Land and Geography,9,topic cards
category,Law and Civic Life,3,topic cards
category,Law and Covenant Life,5,topic cards
category,Materials and Construction,2,topic cards
category,Meals and Hospitality,1,topic cards
category,Military and Spiritual Imagery,1,topic cards
category,Money and Measures,4,topic cards
category,Nations and Gentile Background,1,topic cards
category,Occupations and Work,4,topic cards
category,Pagan Religion and Idolatry,5,topic cards
category,Pagan Worship and Culture,1,topic cards
category,Peoples and Nations,1,topic cards
category,Places and Geography,5,topic cards
category,Places and Public Life,2,topic cards
category,Places and Worship,1,topic cards
category,Prophets and Revelation,7,topic cards
category,Public Decision and Guidance,1,topic cards
category,Purity and Cleanliness,4,topic cards
category,Purity and Healing,2,topic cards
category,Roman World,14,topic cards
category,Royal and Legal Life,7,topic cards
category,Scripture and Learning,4,topic cards
category,Social Life and Economy,9,topic cards
category,Social Life and Mercy,1,topic cards
category,Social Life and Relationships,4,topic cards
category,Synagogue and Jewish Life,4,topic cards
category,Tabernacle and Temple,9,topic cards
category,Temple and Economy,1,topic cards
category,Temple and Priesthood,4,topic cards
category,Temple and Worship,15,topic cards
category,Trade and Economy,4,topic cards
category,Travel and Geography,10,topic cards
category,Vows and Dedication,2,topic cards
category,War and Conflict,5,topic cards
category,Worship and Devotion,1,topic cards
category,Worship and Giving,1,topic cards
category,Worship and Memory,1,topic cards
category,Worship and Public Signals,3,topic cards
category,Worship and Sacrifice,5,topic cards
book,Genesis,457,mapped verse keys
book,Exodus,378,mapped verse keys
book,Leviticus,473,mapped verse keys
book,Numbers,231,mapped verse keys
book,Deuteronomy,121,mapped verse keys
book,Joshua,165,mapped verse keys
book,Judges,49,mapped verse keys
book,Ruth,75,mapped verse keys
book,1 Samuel,109,mapped verse keys
book,2 Samuel,93,mapped verse keys
book,1 Kings,157,mapped verse keys
book,2 Kings,82,mapped verse keys
book,1 Chronicles,125,mapped verse keys
book,2 Chronicles,75,mapped verse keys
book,Ezra,23,mapped verse keys
book,Nehemiah,66,mapped verse keys
book,Esther,52,mapped verse keys
book,Job,9,mapped verse keys
book,Psalms,15,mapped verse keys
book,Proverbs,33,mapped verse keys
book,Ecclesiastes,0,mapped verse keys
book,Song of Solomon,1,mapped verse keys
book,Isaiah,79,mapped verse keys
book,Jeremiah,130,mapped verse keys
book,Lamentations,5,mapped verse keys
book,Ezekiel,200,mapped verse keys
